,Latitude,Longitude,Distance
282,36.80830133,-121.7936892,0.56417828
283,36.80830896,-121.7937096,0.566178912
284,36.80831659,-121.7937299,0.568179544
285,36.80832422,-121.7937503,0.570180176
286,36.80833185,-121.7937707,0.572180808
287,36.80833948,-121.793791,0.574181441
288,36.80834711,-121.7938114,0.576182073
289,36.80835474,-121.7938317,0.578182705
290,36.80836237,-121.7938521,0.580183337
291,36.80836999,-121.7938724,0.582183969
292,36.80837762,-121.7938928,0.584184602
293,36.80838525,-121.7939131,0.586185234
294,36.80839288,-121.7939335,0.588185866
295,36.80840051,-121.7939538,0.590186498
296,36.80840814,-121.7939742,0.59218713
297,36.80841577,-121.7939945,0.594187763
298,36.8084234,-121.7940149,0.596188395
299,36.80843103,-121.7940352,0.598189027
300,36.80843865,-121.7940556,0.600189659
301,36.80844628,-121.7940759,0.602190291
302,36.80845391,-121.7940963,0.604190924
303,36.80846154,-121.7941166,0.606191556
304,36.80846917,-121.794137,0.608192188
305,36.8084768,-121.7941573,0.61019282
306,36.80848443,-121.7941777,0.612193452
307,36.80849206,-121.794198,0.614194085
308,36.80849968,-121.7942184,0.616194717
309,36.80850731,-121.7942387,0.618195349
310,36.80851494,-121.7942591,0.620195981
311,36.80852257,-121.7942794,0.622196613
312,36.8085302,-121.7942998,0.624197246
313,36.80853783,-121.7943202,0.626197878
314,36.80854546,-121.7943405,0.62819851
315,36.80855309,-121.7943609,0.630199142
316,36.80856072,-121.7943812,0.632199774
317,36.80856834,-121.7944016,0.634200406
318,36.80857597,-121.7944219,0.636201039
319,36.8085836,-121.7944423,0.638201671
320,36.80859123,-121.7944626,0.640202303
321,36.80859886,-121.794483,0.642202935
322,36.80860649,-121.7945033,0.644203567
323,36.80861412,-121.7945237,0.6462042
324,36.80862175,-121.794544,0.648204832
325,36.80862938,-121.7945644,0.650205464
326,36.808637,-121.7945847,0.652206096
327,36.80864463,-121.7946051,0.654206728
328,36.80865226,-121.7946254,0.656207361
329,36.80865989,-121.7946458,0.658207993
330,36.80866752,-121.7946661,0.660208625
331,36.80867515,-121.7946865,0.662209257
332,36.80868278,-121.7947068,0.664209889
333,36.80869041,-121.7947272,0.666210522
334,36.80869803,-121.7947475,0.668211154
335,36.80870566,-121.7947679,0.670211786
336,36.80871329,-121.7947882,0.672212418
337,36.80872092,-121.7948086,0.67421305
338,36.80872855,-121.794829,0.676213683
339,36.80873618,-121.7948493,0.678214315
340,36.80874381,-121.7948697,0.680214947
341,36.80875144,-121.79489,0.682215579
342,36.80875907,-121.7949104,0.684216211
343,36.80876669,-121.7949307,0.686216844
344,36.80877432,-121.7949511,0.688217476
345,36.80878195,-121.7949714,0.690218108
346,36.80878958,-121.7949918,0.69221874
347,36.80879721,-121.7950121,0.694219372
348,36.80880484,-121.7950325,0.696220005
349,36.80881247,-121.7950528,0.698220637
350,36.8088201,-121.7950732,0.700221269
351,36.80882773,-121.7950935,0.702221901
352,36.80883535,-121.7951139,0.704222533
353,36.80884298,-121.7951342,0.706223166
354,36.80885061,-121.7951546,0.708223798
355,36.80885824,-121.7951749,0.71022443
356,36.80886587,-121.7951953,0.712225062
357,36.8088735,-121.7952156,0.714225694
358,36.80888113,-121.795236,0.716226327
359,36.80888876,-121.7952563,0.718226959
360,36.80889638,-121.7952767,0.720227591
361,36.80890401,-121.795297,0.722228223
362,36.80891164,-121.7953174,0.724228855
363,36.80891927,-121.7953377,0.726229488
364,36.8089269,-121.7953581,0.72823012
365,36.80893453,-121.7953785,0.730230752
366,36.80894216,-121.7953988,0.732231384
367,36.80894979,-121.7954192,0.734232016
368,36.80895742,-121.7954395,0.736232649
369,36.80896504,-121.7954599,0.738233281
370,36.80897267,-121.7954802,0.740233913
371,36.8089803,-121.7955006,0.742234545
372,36.80898793,-121.7955209,0.744235177
373,36.80899556,-121.7955413,0.74623581
374,36.80900319,-121.7955616,0.748236442
375,36.80901082,-121.795582,0.750237074
376,36.80901845,-121.7956023,0.752237706
377,36.80902608,-121.7956227,0.754238338
378,36.8090337,-121.795643,0.756238971
379,36.80904133,-121.7956634,0.758239603
380,36.80904896,-121.7956837,0.760240235
381,36.80905659,-121.7957041,0.762240867
382,36.80906422,-121.7957244,0.764241499
383,36.80907185,-121.7957448,0.766242131
384,36.80907948,-121.7957651,0.768242764
385,36.80908711,-121.7957855,0.770243396
386,36.80909473,-121.7958058,0.772244028
387,36.80910236,-121.7958262,0.77424466
388,36.80910999,-121.7958465,0.776245292
389,36.80911762,-121.7958669,0.778245925
390,36.80912525,-121.7958873,0.780246557
391,36.80913288,-121.7959076,0.782247189
392,36.80914051,-121.795928,0.784247821
393,36.80914814,-121.7959483,0.786248453
394,36.80915577,-121.7959687,0.788249086
395,36.80916339,-121.795989,0.790249718
396,36.80917102,-121.7960094,0.79225035
397,36.80917865,-121.7960297,0.794250982
398,36.80918628,-121.7960501,0.796251614
399,36.80919391,-121.7960704,0.798252247
400,36.80920154,-121.7960908,0.800252879
401,36.80920917,-121.7961111,0.802253511
402,36.8092168,-121.7961315,0.804254143
403,36.80922443,-121.7961518,0.806254775
404,36.80923205,-121.7961722,0.808255408
405,36.80923968,-121.7961925,0.81025604
406,36.80924731,-121.7962129,0.812256672
407,36.80925494,-121.7962332,0.814257304
408,36.80926257,-121.7962536,0.816257936
409,36.8092702,-121.7962739,0.818258569
410,36.80927783,-121.7962943,0.820259201
411,36.80928546,-121.7963146,0.822259833
412,36.80929308,-121.796335,0.824260465
413,36.80930071,-121.7963553,0.826261097
414,36.80930834,-121.7963757,0.82826173
415,36.80931597,-121.796396,0.830262362
416,36.8093236,-121.7964164,0.832262994
417,36.80933123,-121.7964368,0.834263626
418,36.80933886,-121.7964571,0.836264258
419,36.80934649,-121.7964775,0.838264891
420,36.80935412,-121.7964978,0.840265523
421,36.80936174,-121.7965182,0.842266155
422,36.80936937,-121.7965385,0.844266787
423,36.809377,-121.7965589,0.846267419
424,36.80938463,-121.7965792,0.848268052
425,36.80939226,-121.7965996,0.850268684
426,36.80939989,-121.7966199,0.852269316
427,36.80940752,-121.7966403,0.854269948
428,36.80941515,-121.7966606,0.85627058
429,36.80942278,-121.796681,0.858271213
430,36.8094304,-121.7967013,0.860271845
431,36.80943803,-121.7967217,0.862272477
432,36.80944566,-121.796742,0.864273109
433,36.80945329,-121.7967624,0.866273741
434,36.80946092,-121.7967827,0.868274374
435,36.80946855,-121.7968031,0.870275006
436,36.80947618,-121.7968234,0.872275638
437,36.80948381,-121.7968438,0.87427627
438,36.80949143,-121.7968641,0.876276902
439,36.80949906,-121.7968845,0.878277535
440,36.80950669,-121.7969048,0.880278167
441,36.80951432,-121.7969252,0.882278799
442,36.80952195,-121.7969456,0.884279431
443,36.80952958,-121.7969659,0.886280063
444,36.80953721,-121.7969863,0.888280696
445,36.80954484,-121.7970066,0.890281328
446,36.80955247,-121.797027,0.89228196
447,36.80956009,-121.7970473,0.894282592
448,36.80956772,-121.7970677,0.896283224
449,36.80957535,-121.797088,0.898283857
450,36.80958298,-121.7971084,0.900284489
451,36.80959061,-121.7971287,0.902285121
452,36.80959824,-121.7971491,0.904285753
453,36.80960587,-121.7971694,0.906286385
454,36.8096135,-121.7971898,0.908287017
455,36.80962113,-121.7972101,0.91028765
456,36.80962875,-121.7972305,0.912288282
457,36.80963638,-121.7972508,0.914288914
458,36.80964401,-121.7972712,0.916289546
459,36.80965164,-121.7972915,0.918290178
460,36.80965927,-121.7973119,0.920290811
461,36.8096669,-121.7973322,0.922291443
462,36.80967453,-121.7973526,0.924292075
463,36.80968216,-121.7973729,0.926292707
464,36.80968978,-121.7973933,0.928293339
465,36.80969741,-121.7974136,0.930293972
466,36.80970504,-121.797434,0.932294604
467,36.80971267,-121.7974543,0.934295236
468,36.8097203,-121.7974747,0.936295868
469,36.80972793,-121.7974951,0.9382965
470,36.80973556,-121.7975154,0.940297133
471,36.80974319,-121.7975358,0.942297765
472,36.80975082,-121.7975561,0.944298397
473,36.80975844,-121.7975765,0.946299029
474,36.80976607,-121.7975968,0.948299661
475,36.8097737,-121.7976172,0.950300294
476,36.80978133,-121.7976375,0.952300926
477,36.80978896,-121.7976579,0.954301558
478,36.80979659,-121.7976782,0.95630219
479,36.80980422,-121.7976986,0.958302822
480,36.80981185,-121.7977189,0.960303455
481,36.80981948,-121.7977393,0.962304087
482,36.8098271,-121.7977596,0.964304719
483,36.80983473,-121.79778,0.966305351
484,36.80984236,-121.7978003,0.968305983
485,36.80984999,-121.7978207,0.970306616
486,36.80985762,-121.797841,0.972307248
487,36.80986525,-121.7978614,0.97430788
488,36.80987288,-121.7978817,0.976308512
489,36.80988051,-121.7979021,0.978309144
