#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2018 01 04 10 50 131  5.4  7.8  2.94 16.00  8.81 289 1016.8  13.7  13.7 999.0 99.0 99.00
2018 01 04 11 50 143  5.2  7.1  3.01 16.00  9.05 282 1017.0  14.2  13.6 999.0 99.0 99.00
2018 01 04 12 50 131  5.2  7.3  3.01 16.00  8.68 285 1016.9  14.1  13.7 999.0 99.0 99.00
2018 01 04 13 50 145  7.7 10.0  2.71 16.00  8.26 279 1016.6  14.1  13.7 999.0 99.0 99.00
2018 01 04 14 50 144  6.6  7.9  2.75 16.00  8.20 275 1017.3  14.0  13.7 999.0 99.0 99.00
2018 01 04 15 50 108  6.4  8.4  2.58 16.00  8.22 292 1017.8  13.9  13.7 999.0 99.0 99.00
2018 01 04 16 50 106  5.7  7.9  2.59 14.81  8.28 291 1018.4  13.4  13.7 999.0 99.0 99.00
2018 01 04 17 50 120  5.5  7.2  2.88 14.81  9.04 291 1018.9  14.4  13.7 999.0 99.0 99.00
2018 01 04 18 50 158  6.6  8.1  2.23 14.81  7.63 277 1018.9  14.2  13.7 999.0 99.0 99.00
2018 01 04 19 50 154  6.9  8.7  2.64 13.79  8.04 279 1018.3  14.6  13.8 999.0 99.0 99.00
2018 01 04 20 50 160  7.9  9.1  2.67 13.79  8.23 282 1017.5  14.6  13.8 999.0 99.0 99.00
2018 01 04 21 50 162  8.7 10.3  2.60 14.81  7.90 277 1017.0  14.5  13.8 999.0 99.0 99.00
2018 01 04 22 50 161  8.0  9.6  2.82 14.81  8.47 273 1016.9  14.4  13.8 999.0 99.0 99.00
2018 01 04 23 50 158  7.7  9.3  2.51 13.79  7.83 284 1017.4  13.9  13.7 999.0 99.0 99.00
2018 01 05 00 50 157  6.3  7.7  2.67 14.81  8.28 272 1017.9  14.1  13.7 999.0 99.0 99.00
2018 01 05 01 50 169  7.5  9.0  2.43 14.81  7.80 282 1018.0  14.2  13.8 999.0 99.0 99.00
2018 01 05 02 50 159  7.7  9.1  2.56 14.81  8.52 265 1018.6  14.4  13.8 999.0 99.0 99.00
2018 01 05 03 50 160  6.6  8.0  2.65 13.79  8.37 277 1019.5  14.4  13.8 999.0 99.0 99.00
2018 01 05 04 50 167  6.0  7.4  2.50 12.90  8.44 271 1020.3  14.1  13.8 999.0 99.0 99.00
2018 01 05 05 50 150  7.5  9.2  2.54 14.81  8.80 256 1020.4  14.2  13.8 999.0 99.0 99.00
2018 01 05 06 50 141  8.4 10.2  2.37 12.90  7.73 270 1020.0  14.3  13.8 999.0 99.0 99.00
2018 01 05 07 50 153  6.7  7.9  2.45 14.81  8.41 260 1020.2  14.3  13.7 999.0 99.0 99.00
2018 01 05 08 50 163  5.8  7.3  2.38 13.79  8.63 261 1020.2  14.3  13.7 999.0 99.0 99.00
2018 01 05 09 50 156  7.2  8.8  2.21 12.90  8.00 269 1019.9  14.2  13.8 999.0 99.0 99.00
2018 01 05 10 50 154  6.0  7.1  2.37 14.81  7.98 279 1020.3  14.3  13.8 999.0 99.0 99.00
2018 01 05 11 50 128  4.3  5.5  2.16 13.79  7.93 268 1020.5  14.0  13.8 999.0 99.0 99.00
2018 01 05 12 50 124  4.7  5.8  2.21 13.79  8.73 284 1020.3  14.1  13.8 999.0 99.0 99.00
2018 01 05 13 50 153  5.7  7.3  2.29 13.79  8.90 279 1020.3  14.0  13.8 999.0 99.0 99.00
2018 01 05 14 50 155  6.8  8.6  2.09 12.12  8.03 271 1020.6  14.0  13.8 999.0 99.0 99.00
2018 01 05 15 50 157  7.5  8.8  2.07 12.90  7.95 281 1021.3  14.1  13.8 999.0 99.0 99.00
2018 01 05 16 50 154  6.5  7.9  2.10 12.90  7.64 279 1021.7  14.2  13.8 999.0 99.0 99.00
2018 01 05 17 50 158  7.0  8.1  2.18 13.79  8.03 273 1022.4  14.2  13.8 999.0 99.0 99.00
2018 01 05 18 50 160  6.2  8.0  2.24 12.90  8.07 274 1022.9  14.1  13.8 999.0 99.0 99.00
2018 01 05 19 50 165  6.3  7.4  2.22 12.90  8.13 277 1022.6  14.1  13.9 999.0 99.0 99.00
2018 01 05 20 50 169  5.7  6.7  2.19 12.90  8.05 275 1021.9  14.1  13.9 999.0 99.0 99.00
2018 01 05 21 50 178  4.8  5.6  2.08 12.90  7.98 275 1021.4  14.0  14.0 999.0 99.0 99.00
2018 01 05 22 50 316  6.1  7.8  1.97 12.90  7.96 270 1021.7  13.6  14.0 999.0 99.0 99.00
2018 01 05 23 50 336  5.8  6.9  1.93 13.79  8.36 286 1022.3  13.8  14.0 999.0 99.0 99.00
2018 01 06 00 50 334  6.8  8.0  1.70 13.79  7.89 276 1021.7  13.4  14.0 999.0 99.0 99.00
2018 01 06 01 50 319  6.8  7.9  2.24 12.90  8.20 281 1022.5  12.9  14.0 999.0 99.0 99.00
2018 01 06 02 50 322  5.0  5.9  2.00 13.79  8.09 276 1022.7  13.2  13.9 999.0 99.0 99.00
2018 01 06 03 50 331  5.0  5.9  1.97 12.90  8.28 281 1022.7  13.2  13.9 999.0 99.0 99.00
2018 01 06 04 50 305  4.7  5.7  2.47 12.12  9.51 283 1023.2  13.2  13.9 999.0 99.0 99.00
2018 01 06 05 50 315  5.9  7.0  2.13 12.12  8.98 275 1023.0  13.0  13.9 999.0 99.0 99.00
2018 01 06 06 50 329  5.5  6.7  2.49 12.12  9.09 283 1023.3  12.2  13.9 999.0 99.0 99.00
2018 01 06 07 50 354  6.1  7.2  2.64 12.90  9.22 288 1022.3  12.2  13.9 999.0 99.0 99.00
